Percent,Real_Goal,Time,Cost,Prob,Results
50,2,26982736,79/47/15/47/47/47/19/79/,0.007771489822166069/0.057423974268253665/0.4243089672916765/0.057423974268253665/0.057423974268253665/0.057423974268253665/0.33045215599097677/0.007771489822166069/,2/
50,3,36350916,27/63/63/27/23/23/23/27/,0.14305452624524506/0.03191977935105928/0.03191977935105928/0.14305452624524506/0.1689989541873821/0.1689989541873821/0.1689989541873821/0.14305452624524506/,4/5/6/
50,3,23185209,270/270/1033/270/270/208/208/270/,0.1295896926304377/0.1295896926304377/0.003365765901039728/0.1295896926304377/0.1295896926304377/0.17434288547338592/0.17434288547338592/0.1295896926304377/,5/6/
50,3,26784618,270/5039/270/270/5039/5039/208/270/,0.1870786528369377/2.3025749900889606E-11/0.1870786528369377/0.1870786528369377/2.3025749900889606E-11/2.3025749900889606E-11/0.25168538858317213/0.1870786528369377/,6/
50,0,932709371,19/28514/145/60/23/24/24/21/,0.226667887422639/0.0/4.1623132447324247E-4/0.029180068633804696/0.1855799701681324/0.17652912822189226/0.17652912822189226/0.20509758600716624/,0/
50,0,901205087,43/47/11233/726/51/161/56/51/,0.22762251158636376/0.2078422783714763/8.095286057682888E-112/4.1283871006116176E-8/0.18978093325473236/0.015578167645056935/0.1693951346037674/0.18978093325473236/,0/
50,0,731262950,162/2539516/10248/56/162/177/47/47/,0.02959732611501779/0.0/1.6410600299507046E-93/0.2693515373206829/0.02959732611501779/0.02165386636077761/0.3248999720442519/0.3248999720442519/,6/7/
50,2,956076330,36608/40688/1570/193615/40688/3301062/129/663/,1.3382489727476762E-122/3.135968130547803E-136/1.5098088681875017E-5/0.0/3.135968130547803E-136/0.0/0.9838055483741766/0.0161793535371416/,6/
50,2,1006168056,11317/179/599/599/2330/2330/52/13309/,4.508808366665942E-93/0.08345586465525531/3.0191031262416957E-5/3.0191031262416957E-5/1.9754056163636857E-19/1.9754056163636857E-19/0.9164837532822199/2.143604431339443E-109/,6/
50,2,963725859,195/211/469/467/9211/9211/64/60/,0.05128208795591392/0.03945048915515743/5.743813386859343E-4/5.935256397789164E-4/3.309918936655893E-66/3.309918936655893E-66/0.43916821271683837/0.46893130319362547/,6/7/
50,4,798648614,25/23/2787375/189852426/275/471/24/21/,0.23035739133459596/0.25228037523889835/0.0/0.0/2.674469100696984E-6/3.6146692458717116E-10/0.2410698013541838/0.2762897572417544/,7/
50,4,831540803,20/20/129/11233/31/31/22/21/,0.1979123107325123/0.1979123107325123/0.0011022437411953403/2.5345459124457485E-233/0.11721554837959558/0.11721554837959558/0.17993325242708164/0.18870878560750728/,0/1/7/
50,4,820140822,9234/9234/177/2840/35/43/25/2295314/,6.870335827685508E-155/6.870335827685508E-155/0.001323702453580344/4.3652914680999556E-48/0.3116781736844487/0.22912755407049779/0.4578705697914731/0.0/,6/
50,6,890707735,129/129/146/51/43/194/8226/43/,0.04363746715492743/0.04363746715492743/0.029652679234068637/0.256888822103468/0.3081114518873612/0.009960660577886131/5.245713115166005E-82/0.3081114518873612/,4/7/
50,6,822377699,178/194/21/47/43/25/21/43/,2.0519872078191996E-4/9.915716850989165E-5/0.25790395202931105/0.07910444396762785/0.09487756174844941/0.21502817258755946/0.25790395202931105/0.09487756174844941/,2/6/
50,6,927640049,113726/129463/22/43/6208/26/1824/113/,0.0/0.0/0.44232120064911923/0.17750394574197365/6.908829779119924E-118/0.3717134541777633/4.1659036101887835E-35/0.008461399431143896/,2/
70,0,310237981,403/1817/2326/467/1817/2326/10198/112/2069/2326/,0.06801882845151855/2.501400041029642E-7/2.766536007355968E-9/0.03860619957889382/2.501400041029642E-7/2.766536007355968E-9/1.5394604138706674E-39/0.8933744364951898/2.689478178085303E-8/2.766536007355968E-9/,7/
70,0,341921038,35/32512/1819/113/1819/1819/2075/35/8199/1819/,0.472911880811891/0.0/1.4225773817720501E-22/0.05417623837621795/1.4225773817720501E-22/1.4225773817720501E-22/1.160805837974776E-25/0.472911880811891/1.5361821613028023E-99/1.4225773817720501E-22/,0/7/
70,0,305139869,43/405/470/405/405/470/534/96/405/470/,0.7685836377912704/2.054149215767101E-4/4.688787972488159E-5/2.054149215767101E-4/2.054149215767101E-4/4.688787972488159E-5/1.0948623706595322E-5/0.23044309025954163/2.054149215767101E-4/4.688787972488159E-5/,0/
70,1,437678170,24607/35/40504/32651/577988/11070564/47/39/32651/577988/,1.4223946657411299E-297/0.38294066323330755/0.0/0.0/0.0/0.0/0.2743889752985579/0.34267036146813457/0.0/0.0/,1/
70,1,477648448,113/35/726/129/406/39/43/1831/10101423/577988/,0.039727415034863156/0.34678610267225596/1.5996330906276836E-9/0.025472439403371582/1.1598872492865706E-5/0.3103178391959594/0.2776846032214238/7.474678752228636E-23/0.0/0.0/,1/
70,1,295543648,1816/35/2840/2085/31/35/35/112/144968/2840/,1.596414585662178E-25/0.23678159706148458/2.0217258597814406E-39/3.56744838704709E-29/0.26830870042491384/0.23678159706148458/0.23678159706148458/0.021346508390632273/0.0/2.0217258597814406E-39/,4/
70,2,307398907,1543/35/16/5105/35/17/6090/1543/5105/63/,3.6750307268513735E-40/0.12295216851005067/0.3759448528431897/3.696525008441442E-131/0.12295216851005067/0.35446830531631657/2.5366493222359817E-156/3.6750307268513735E-40/3.696525008441442E-131/0.023682504820392476/,2/5/
70,2,265467341,337/64/337/337/95/1543/1543/337/1043/1043/,0.008922363500389167/0.5949996860544198/0.008922363500389167/0.008922363500389167/0.36931051749035493/7.809925837845434E-11/7.809925837845434E-11/0.008922363500389167/1.7114873509586437E-7/1.7114873509586437E-7/,1/
70,2,287549610,5105/80/15/5105/111/17/80/24182/24182/209/,3.6049898221905866E-139/0.00896426663237194/0.5209980507036345/3.6049898221905866E-139/0.0012914250522205637/0.4597791659985694/0.00896426663237194/0.0/0.0/2.8249808315313515E-6/,2/
70,3,262024939,27/464/1047/27/1301/464/464/1299/464/5127/,0.49999983331219255/8.334390372649288E-8/7.555136313579163E-17/0.49999983331219255/8.681023521459007E-21/8.334390372649288E-8/8.334390372649288E-8/9.32377892306963E-21/8.334390372649288E-8/3.93851119547659E-80/,0/3/
